Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3852.969970703125,3660.0,7.0,4.41,0.00062,1.0,0.0,6.53584,0.0,0.0,209.72,192.0,195.4,2023-01-04, 2023-01-11,196.064119609418,9.229166666666666
3852.969970703125,3675.0,7.0,4.41,0.1148,0.99674,0.0001,0.03937,-0.10833,0.77553,195.17,177.3,180.9,2023-01-04, 2023-01-11,181.09750435635212,10.078962210941892
3852.969970703125,3700.0,7.0,4.41,0.15953,0.96145,0.00087,0.467,-0.52827,0.75075,121.65,153.7,157.2,2023-01-04, 2023-01-11,157.08881778313437,-20.852309694209488
3852.969970703125,3705.0,7.0,4.41,0.16171,0.95372,0.00104,0.54047,-0.61129,0.74552,118.2,149.1,152.5,2023-01-04, 2023-01-11,152.3512303570401,-20.724346076458747
3852.969970703125,3725.0,7.0,4.41,0.17136,0.9147,0.00165,0.86986,-1.01546,0.71847,168.22,131.1,134.6,2023-01-04, 2023-01-11,134.00871504711722,28.314263920671245
3852.969970703125,3735.0,7.0,4.41,0.17695,0.89113,0.00183,1.04698,-1.25284,0.7002,127.11,122.7,126.0,2023-01-04, 2023-01-11,125.32639394184024,3.5941320293398507
3852.969970703125,3745.0,7.0,4.41,0.17438,0.87307,0.00208,1.1619,-1.37328,0.68793,96.52,113.7,116.9,2023-01-04, 2023-01-11,116.15471230766798,-15.1099384344767
3852.969970703125,3750.0,7.0,4.41,0.17588,0.85959,0.00223,1.2467,-1.48678,0.67768,99.9,109.7,112.7,2023-01-04, 2023-01-11,111.92347532058191,-8.933454876937098
3852.969970703125,3755.0,7.0,4.41,0.17603,0.84771,0.00238,1.31839,-1.57647,0.66826,90.4,105.5,108.5,2023-01-04, 2023-01-11,107.61501343400823,-14.3127962085308
3852.969970703125,3760.0,7.0,4.41,0.1758,0.83638,0.00247,1.38444,-1.65075,0.65984,74.3,101.1,104.4,2023-01-04, 2023-01-11,103.32282654765096,-26.508407517309596
3852.969970703125,3765.0,7.0,4.41,0.17801,0.82101,0.00267,1.46686,-1.76738,0.64802,72.6,97.4,100.4,2023-01-04, 2023-01-11,99.40989187521927,-25.462012320328554
