Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3852.969971,3660,7,4.41,0.00062,1,0,6.53584,0,0,209.72,192,195.4,1/4/2023, 2023-01-11,196.0641196,9.229166667
3852.969971,3675,7,4.41,0.1148,0.99674,0.0001,0.03937,-0.10833,0.77553,195.17,177.3,180.9,1/4/2023, 2023-01-11,181.0975044,10.07896221
3852.969971,3700,7,4.41,0.15953,0.96145,0.00087,0.467,-0.52827,0.75075,121.65,153.7,157.2,1/4/2023, 2023-01-11,157.0888178,-20.85230969
3852.969971,3705,7,4.41,0.16171,0.95372,0.00104,0.54047,-0.61129,0.74552,118.2,149.1,152.5,1/4/2023, 2023-01-11,152.3512304,-20.72434608
3852.969971,3725,7,4.41,0.17136,0.9147,0.00165,0.86986,-1.01546,0.71847,168.22,131.1,134.6,1/4/2023, 2023-01-11,134.008715,28.31426392
3852.969971,3735,7,4.41,0.17695,0.89113,0.00183,1.04698,-1.25284,0.7002,127.11,122.7,126,1/4/2023, 2023-01-11,125.3263939,3.594132029
3852.969971,3745,7,4.41,0.17438,0.87307,0.00208,1.1619,-1.37328,0.68793,96.52,113.7,116.9,1/4/2023, 2023-01-11,116.1547123,-15.10993843
3852.969971,3750,7,4.41,0.17588,0.85959,0.00223,1.2467,-1.48678,0.67768,99.9,109.7,112.7,1/4/2023, 2023-01-11,111.9234753,-8.933454877
3852.969971,3755,7,4.41,0.17603,0.84771,0.00238,1.31839,-1.57647,0.66826,90.4,105.5,108.5,1/4/2023, 2023-01-11,107.6150134,-14.31279621
3852.969971,3760,7,4.41,0.1758,0.83638,0.00247,1.38444,-1.65075,0.65984,74.3,101.1,104.4,1/4/2023, 2023-01-11,103.3228265,-26.50840752
3852.969971,3765,7,4.41,0.17801,0.82101,0.00267,1.46686,-1.76738,0.64802,72.6,97.4,100.4,1/4/2023, 2023-01-11,99.40989188,-25.46201232
3852.969971,3770,7,4.41,0.17831,0.80651,0.00274,1.53932,-1.86158,0.63728,82,93.5,96.4,1/4/2023, 2023-01-11,95.33338516,-12.29946524
3852.969971,3775,7,4.41,0.17745,0.79243,0.00287,1.60275,-1.93478,0.6267,100.6,89.3,92.5,1/4/2023, 2023-01-11,91.16397536,12.65397536
3852.969971,3780,7,4.41,0.17945,0.77526,0.00297,1.67833,-2.04672,0.61437,76.9,85.9,88.7,1/4/2023, 2023-01-11,87.49201122,-10.47729919
3852.969971,3785,7,4.41,0.17886,0.76136,0.00315,1.73761,-2.10964,0.60261,79,81.8,84.9,1/4/2023, 2023-01-11,83.51319725,-3.422982885
3852.969971,3790,7,4.41,0.17967,0.74366,0.00323,1.80267,-2.20207,0.59023,69.8,78.4,81.2,1/4/2023, 2023-01-11,79.83911392,-10.96938776
3852.969971,3795,7,4.41,0.17939,0.7276,0.0033,1.8609,-2.27841,0.57711,63.2,76,76.4,1/4/2023, 2023-01-11,76.07176797,-16.84210526
3852.969971,3800,7,4.41,0.17565,0.71413,0.00346,1.90498,-2.28627,0.56662,72.4,71.7,72.2,1/4/2023, 2023-01-11,71.77629257,0.976290098
3852.969971,3805,7,4.41,0.17587,0.69579,0.00351,1.95889,-2.35793,0.55283,68.6,68.3,68.8,1/4/2023, 2023-01-11,68.25017218,0.439238653
3852.969971,3810,7,4.41,0.17861,0.6758,0.00359,2.01436,-2.46138,0.53741,53.71,64.8,66.6,1/4/2023, 2023-01-11,65.29216097,-17.11419753
3852.969971,3815,7,4.41,0.17642,0.6588,0.00366,2.05522,-2.48418,0.52452,52.6,61.8,62.2,1/4/2023, 2023-01-11,61.50781009,-14.88673139
3852.969971,3820,7,4.41,0.17713,0.64001,0.00378,2.09495,-2.52955,0.50991,51.9,58.5,59,1/4/2023, 2023-01-11,58.37144339,-11.28205128
3852.969971,3825,7,4.41,0.18826,0.61439,0.00364,2.14113,-2.74533,0.48861,49.4,57.8,58.3,1/4/2023, 2023-01-11,57.43830944,-14.53287197
3852.969971,3830,7,4.41,0.18702,0.59661,0.00371,2.16889,-2.77301,0.47463,42.98,54.7,55.2,1/4/2023, 2023-01-11,54.14740685,-21.42595978
3852.969971,3835,7,4.41,0.17883,0.58067,0.00383,2.18844,-2.68015,0.46277,44.3,50.1,50.5,1/4/2023, 2023-01-11,49.50652016,-11.57684631
3852.969971,3840,7,4.41,0.17744,0.56179,0.00397,2.20706,-2.67246,0.44835,45.1,46.8,47.3,1/4/2023, 2023-01-11,46.35262546,-3.632478632
3852.969971,3845,7,4.41,0.17588,0.54235,0.00399,2.22156,-2.66988,0.43249,42.5,43.9,44.2,1/4/2023, 2023-01-11,43.26151691,-3.189066059
3852.969971,3850,7,4.41,0.17721,0.52203,0.00403,2.231,-2.69232,0.41706,36,41.4,41.9,1/4/2023, 2023-01-11,40.88488166,-13.04347826
3852.969971,3855,7,4.41,0.18477,0.50236,0.00386,2.23492,-2.81339,0.40126,33.92,40.7,41.1,1/4/2023, 2023-01-11,39.94162645,-16.65847666
3852.969971,3860,7,4.41,0.17512,0.48094,0.00404,2.23265,-2.66987,0.3845,31.07,36.2,36.7,1/4/2023, 2023-01-11,35.44143934,-14.17127072
3852.969971,3865,7,4.41,0.17614,0.46137,0.00399,2.22387,-2.66242,0.36939,29.6,34,34.4,1/4/2023, 2023-01-11,33.3174536,-12.94117647
3852.969971,3870,7,4.41,0.17493,0.4403,0.00406,2.21033,-2.62266,0.35241,29.6,31.5,31.9,1/4/2023, 2023-01-11,30.82626887,-6.031746032
3852.969971,3875,7,4.41,0.17386,0.4209,0.00401,2.19103,-2.58575,0.33653,23.85,29.3,29.6,1/4/2023, 2023-01-11,28.47299658,-18.60068259
3852.969971,3880,7,4.41,0.174,0.40056,0.00393,2.16539,-2.54806,0.32106,22.4,27.2,27.6,1/4/2023, 2023-01-11,26.47871823,-17.64705882
3852.969971,3885,7,4.41,0.17281,0.38072,0.00393,2.1354,-2.50265,0.3049,22.11,25.2,25.6,1/4/2023, 2023-01-11,24.3156536,-12.26190476
3852.969971,3890,7,4.41,0.17279,0.3614,0.00382,2.099,-2.45294,0.28943,19.49,23.3,23.8,1/4/2023, 2023-01-11,22.49620363,-16.35193133
3852.969971,3895,7,4.41,0.1712,0.341,0.00384,2.05588,-2.37868,0.27343,17.5,21.4,21.7,1/4/2023, 2023-01-11,20.46912506,-18.22429907
3852.969971,3900,7,4.41,0.17064,0.32163,0.00371,2.01003,-2.31381,0.25806,16.4,19.7,20,1/4/2023, 2023-01-11,18.75114344,-16.75126904
3852.969971,3905,7,4.41,0.17018,0.3026,0.00362,1.95846,-2.24001,0.24355,15,18,18.4,1/4/2023, 2023-01-11,17.15312413,-16.66666667
3852.969971,3910,7,4.41,0.1704,0.2857,0.00357,1.90571,-2.17533,0.2294,13.6,16.6,17,1/4/2023, 2023-01-11,15.77593471,-18.07228916
3852.969971,3915,7,4.41,0.16904,0.26588,0.00348,1.84223,-2.07981,0.21397,13.8,15,15.4,1/4/2023, 2023-01-11,14.21101168,-8
3852.969971,3920,7,4.41,0.16813,0.24861,0.00333,1.77903,-1.99535,0.20053,11.16,13.7,14,1/4/2023, 2023-01-11,12.82611851,-18.54014599
3852.969971,3925,7,4.41,0.16815,0.23233,0.00325,1.71294,-1.90932,0.18698,10,12.4,12.8,1/4/2023, 2023-01-11,11.68714566,-19.35483871
3852.969971,3930,7,4.41,0.16675,0.21469,0.00311,1.6403,-1.81022,0.17279,9.34,11.2,11.5,1/4/2023, 2023-01-11,10.4103926,-16.60714286
3852.969971,3935,7,4.41,0.1688,0.20146,0.00293,1.58105,-1.75228,0.16201,8.1,10.4,10.7,1/4/2023, 2023-01-11,9.737963381,-22.11538462
3852.969971,3940,7,4.41,0.16612,0.18417,0.00285,1.49484,-1.62528,0.14831,8.3,9.1,9.4,1/4/2023, 2023-01-11,8.448117874,-8.791208791
3852.969971,3945,7,4.41,0.16463,0.16858,0.00272,1.41603,-1.5229,0.13581,6.4,8.1,8.4,1/4/2023, 2023-01-11,7.426804577,-20.98765432
3852.969971,3950,7,4.41,0.16522,0.15523,0.00255,1.34348,-1.43811,0.12561,5.8,7.3,7.6,1/4/2023, 2023-01-11,6.751541626,-20.54794521
3852.969971,3955,7,4.41,0.1646,0.14217,0.00246,1.26665,-1.34449,0.11469,6.3,6.5,6.8,1/4/2023, 2023-01-11,5.989350238,-3.076923077
3852.969971,3960,7,4.41,0.16353,0.12942,0.00228,1.18865,-1.24884,0.10449,4.6,5.8,6,1/4/2023, 2023-01-11,5.246360371,-20.68965517
3852.969971,3965,7,4.41,0.16387,0.11902,0.00216,1.11859,-1.16903,0.09598,4,5.2,5.4,1/4/2023, 2023-01-11,4.71722097,-23.07692308
3852.969971,3970,7,4.41,0.16286,0.10828,0.00201,1.04419,-1.08177,0.0871,4.1,4.6,4.8,1/4/2023, 2023-01-11,4.107177233,-10.86956522
3852.969971,3975,7,4.41,0.16152,0.09658,0.00192,0.96725,-0.98841,0.07859,3.1,4,4.2,1/4/2023, 2023-01-11,3.530963682,-22.5
3852.969971,3980,7,4.41,0.16074,0.08757,0.00178,0.8948,-0.90603,0.07079,3.4,3.5,3.7,1/4/2023, 2023-01-11,3.062056827,-2.857142857
3852.969971,3985,7,4.41,0.16127,0.07912,0.00162,0.83071,-0.83589,0.06347,3.1,3.1,3.3,1/4/2023, 2023-01-11,2.739252506,0
3852.969971,3990,7,4.41,0.16051,0.07162,0.00151,0.76732,-0.76608,0.05762,2.55,2.75,2.9,1/4/2023, 2023-01-11,2.360793403,-7.272727273
